file_name,cir_fidelity,cir_fidelity_1q_gate,cir_fidelity_2q_gate,cir_fidelity_2q_gate_for_idle,cir_fidelity_atom_transfer,cir_fidelity_coherence,num_two_qubit_gate,num_gate_stage,num_transfer,num_movement_stage,average_movement
qft 34 full code fidelity,1.8749048117658533e-10,1,0.004779737817405701,0.003256305726010077,0.014064063517475151,0.000856523250882929,1066,130,4262,6652,32.384075804017364
qft 35 full code fidelity,4.225769206807693e-11,1,0.003683021666403962,0.002149152812353711,0.011421742638067355,0.0004674141264668717,1118,134,4470,6972,32.41416046795711
qft 36 full code fidelity,9.069017958118494e-12,1,0.002837948254359171,0.001390313228174353,0.009275854359456565,0.00024779310251741194,1170,138,4678,7292,32.44818095730041
qft 37 full code fidelity,1.8498506034110156e-12,1,0.002186777875321055,0.00088157902403457,0.007533130173243692,0.00012737824588529423,1222,142,4886,7612,32.49055482222387
qft 38 full code fidelity,3.5880731807060404e-13,1,0.0016850192630004349,0.0005479148565452419,0.006117824623796615,6.352524118009641e-05,1274,146,5094,7932,32.53500345749429
qft 39 full code fidelity,6.613763457518447e-14,1,0.001298389721574112,0.00033378601714171993,0.004968423121170649,3.071544953780796e-05,1326,150,5302,8252,32.58106952147436
qft 40 full code fidelity,1.1577171585899003e-14,1,0.001000472757852896,0.00019930878299978126,0.004034968281856999,1.4389000906874167e-05,1378,154,5510,8572,32.62838757154742
qft 41 full code fidelity,1.9231597661422437e-15,1,0.0007709131723503444,0.00011665086675286955,0.0032768885899065597,6.526198093255273e-06,1430,158,5718,8892,32.67666352054073
qft 42 full code fidelity,3.020357102969336e-16,1,0.0005940262887104579,6.691950775640563e-05,0.002661235003740326,2.8550693609199458e-06,1482,162,5926,9212,32.7342894829481
qft 43 full code fidelity,4.5149337837444515e-17,1,0.00045772629698790295,3.7628832194278725e-05,0.00216124886483697,1.2128860552686793e-06,1534,166,6134,9532,32.77935128607944
qft 44 full code fidelity,6.390852854885639e-18,1,0.00035270048975286907,2.0739198943516398e-05,0.0017551988641341587,4.977765676640209e-07,1586,170,6342,9852,32.82507047067733
qft 45 full code fidelity,8.544680354505311e-19,1,0.0002717729706388303,1.120382843731713e-05,0.0014254365162571093,1.9686804537233675e-07,1638,174,6550,10172,32.87519765198091
qft 46 full code fidelity,1.0798687901365943e-19,1,0.0002094143606707414,5.932587563888551e-06,0.001157629088873371,7.508461203152045e-08,1690,178,6758,10492,32.92545573135149
qft 47 full code fidelity,1.2888395142936491e-20,1,0.00016136400302079766,3.079109254591787e-06,0.0009401366473511011,2.759155024897196e-08,1742,182,6966,10812,32.97575663006881
qft 48 full code fidelity,1.4513708930033831e-21,1,0.00012433885330259488,1.5664238101149317e-06,0.0007635061387000543,9.7599983037002e-09,1794,186,7174,11132,33.026027644731236
qft 49 full code fidelity,1.5465796308750466e-22,1,9.580916531062748e-05,7.810821043764728e-07,0.0006200605257492568,3.3329934298746845e-09,1846,190,7382,11452,33.06926657064393
qft 50 full code fidelity,1.5337931799381734e-23,1,7.382564591600252e-05,3.817572857973582e-07,0.0005035651137619555,1.0807284328772842e-09,1898,194,7590,11772,33.13300372510224
